,country,additional_info,aka,designation,id,link,orgKey,source,hcp_id,hco_id
532,SPAIN,,,,6943,,,orgIntel,6943,S142
533,SPAIN,,,,8168,,,openai,8168,S143
534,SPAIN,,,,8172,,,openai,8172,S143
535,SPAIN,,,,8176,,,openai,8176,S143
536,SPAIN,,,,8439,,,openai,8439,S143
537,SPAIN,,,,8439,,,openai,8439,S144
538,SPAIN,,,,8443,,,openai,8443,S144
539,SPAIN,,,,8447,,,openai,8447,S143
540,SPAIN,,,,8447,,,openai,8447,S144
541,SPAIN,,,,5924,,,orgIntel,5924,S145
542,SPAIN,,,,5930,,,openai,5930,S145
543,SPAIN,,,,6178,,,orgIntel,6178,S145
544,SPAIN,,,,6289,,,openai,6289,S145
545,SPAIN,,,,6354,,,openai,6354,S145
546,SPAIN,,,,6679,,,orgIntel,6679,S145
547,SPAIN,,,,6838,,,orgIntel,6838,S145
548,SPAIN,,,,8112,,,openai,8112,S145
549,SPAIN,,,,8112,,,openai,8112,S146
550,SPAIN,,,,8116,,,orgIntel,8116,S146
551,SPAIN,,,,8357,,,openai,8357,S147
552,SPAIN,,,,8361,,,openai,8361,S147
553,SPAIN,,,,8365,,,orgIntel,8365,S146
554,SPAIN,,,,8365,,,orgIntel,8365,S147
555,SPAIN,,,,8369,,,openai,8369,S147
556,SPAIN,,,,8930,,,openai,8930,S148
557,SPAIN,,,,8945,,,openai,8945,S148
558,SPAIN,,,,1011,,,openai,1011,S149
559,SPAIN,,,,1014,,,orgIntel,1014,S149
560,SPAIN,,,,8569,,,orgIntel,8569,S149
561,SPAIN,,,,8569,,,orgIntel,8569,S150
562,SPAIN,,,,8573,,,openai,8573,S150
563,SPAIN,,,,8778,,,orgIntel,8778,S151
565,SPAIN,,,,8786,,,openai,8786,S152
566,SPAIN,,,,8786,,,openai,8786,S151
567,SPAIN,,,,6987,,,openai,6987,S152
568,SPAIN,,,,6989,,,openai,6989,S152
